# Goxel 0.10.8
# One line per voxel
# X Y Z RRGGBB
5 0 10 847e87
0 1 10 847e87
1 1 10 847e87
2 1 10 847e87
3 1 10 847e87
4 1 10 847e87
5 1 10 847e87
0 2 10 847e87
1 2 10 847e87
0 3 10 847e87
5 5 10 847e87
2 0 11 847e87
3 0 11 847e87
4 0 11 847e87
5 0 11 847e87
2 1 11 847e87
3 1 11 847e87
4 1 11 847e87
5 1 11 847e87
0 2 11 847e87
1 2 11 847e87
2 2 11 847e87
3 2 11 847e87
4 2 11 847e87
5 2 11 847e87
0 3 11 847e87
1 3 11 847e87
2 3 11 847e87
3 3 11 847e87
4 3 11 847e87
5 3 11 847e87
0 4 11 847e87
4 4 11 847e87
5 4 11 847e87
0 5 11 847e87
4 5 11 847e87
5 5 11 847e87
3 0 12 847e87
4 0 12 847e87
5 0 12 847e87
3 1 12 847e87
4 1 12 847e87
5 1 12 847e87
2 2 12 847e87
3 2 12 847e87
4 2 12 847e87
5 2 12 847e87
0 3 12 847e87
1 3 12 847e87
2 3 12 847e87
3 3 12 847e87
4 3 12 847e87
5 3 12 847e87
0 4 12 847e87
1 4 12 847e87
2 4 12 847e87
3 4 12 847e87
4 4 12 847e87
5 4 12 847e87
0 5 12 847e87
1 5 12 847e87
2 5 12 847e87
3 5 12 847e87
4 5 12 847e87
5 5 12 847e87
3 0 13 847e87
4 0 13 847e87
5 0 13 847e87
3 1 13 847e87
4 1 13 847e87
5 1 13 847e87
2 2 13 847e87
3 2 13 847e87
4 2 13 847e87
5 2 13 847e87
0 3 13 847e87
1 3 13 847e87
2 3 13 847e87
3 3 13 847e87
4 3 13 847e87
5 3 13 847e87
0 4 13 847e87
1 4 13 847e87
2 4 13 847e87
3 4 13 847e87
4 4 13 847e87
5 4 13 847e87
0 5 13 847e87
1 5 13 847e87
2 5 13 847e87
3 5 13 847e87
4 5 13 847e87
5 5 13 847e87
2 2 14 847e87
3 2 14 847e87
4 2 14 847e87
5 2 14 847e87
2 3 14 847e87
3 3 14 847e87
4 3 14 847e87
5 3 14 847e87
2 4 14 847e87
3 4 14 847e87
4 4 14 847e87
5 4 14 847e87
0 5 14 847e87
1 5 14 847e87
2 5 14 847e87
3 5 14 847e87
4 5 14 847e87
5 5 14 847e87
3 3 15 847e87
4 3 15 847e87
5 3 15 847e87
3 4 15 847e87
4 4 15 847e87
5 4 15 847e87
2 5 15 847e87
3 5 15 847e87
4 5 15 847e87
5 5 15 847e87
3 3 16 847e87
4 3 16 847e87
5 3 16 847e87
3 4 16 847e87
4 4 16 847e87
5 4 16 847e87
2 5 16 847e87
3 5 16 847e87
4 5 16 847e87
5 5 16 847e87
3 3 17 847e87
4 3 17 847e87
5 3 17 847e87
3 4 17 847e87
4 4 17 847e87
5 4 17 847e87
2 5 17 847e87
3 5 17 847e87
4 5 17 847e87
5 5 17 847e87
0 0 18 847e87
0 1 18 847e87
2 2 18 847e87
3 2 18 847e87
4 2 18 847e87
5 2 18 847e87
2 3 18 847e87
3 3 18 847e87
4 3 18 847e87
5 3 18 847e87
2 4 18 847e87
3 4 18 847e87
4 4 18 847e87
5 4 18 847e87
0 5 18 847e87
1 5 18 847e87
2 5 18 847e87
3 5 18 847e87
4 5 18 847e87
5 5 18 8f563b
0 0 19 847e87
1 0 19 847e87
2 0 19 847e87
3 0 19 847e87
4 0 19 847e87
5 0 19 847e87
0 1 19 847e87
1 1 19 847e87
2 1 19 847e87
3 1 19 847e87
4 1 19 847e87
5 1 19 847e87
0 2 19 847e87
1 2 19 847e87
2 2 19 847e87
3 2 19 847e87
4 2 19 847e87
5 2 19 847e87
0 3 19 847e87
1 3 19 847e87
2 3 19 847e87
3 3 19 847e87
4 3 19 847e87
5 3 19 8f563b
0 4 19 847e87
1 4 19 847e87
2 4 19 847e87
3 4 19 847e87
4 4 19 847e87
5 4 19 8f563b
0 5 19 847e87
1 5 19 847e87
2 5 19 847e87
3 5 19 847e87
4 5 19 8f563b
5 5 19 8f563b
0 0 20 847e87
1 0 20 847e87
2 0 20 847e87
3 0 20 847e87
4 0 20 847e87
5 0 20 847e87
0 1 20 847e87
1 1 20 847e87
2 1 20 847e87
3 1 20 847e87
4 1 20 847e87
5 1 20 847e87
0 2 20 847e87
1 2 20 847e87
2 2 20 847e87
3 2 20 847e87
4 2 20 847e87
5 2 20 8f563b
0 3 20 847e87
1 3 20 847e87
2 3 20 847e87
3 3 20 847e87
4 3 20 847e87
5 3 20 8f563b
0 4 20 847e87
1 4 20 847e87
2 4 20 847e87
3 4 20 847e87
4 4 20 8f563b
5 4 20 8f563b
0 5 20 847e87
1 5 20 847e87
2 5 20 847e87
3 5 20 8f563b
4 5 20 8f563b
5 5 20 8f563b
0 0 21 847e87
1 0 21 847e87
2 0 21 8f563b
3 0 21 8f563b
4 0 21 8f563b
5 0 21 8f563b
0 1 21 847e87
1 1 21 8f563b
2 1 21 8f563b
3 1 21 8f563b
4 1 21 8f563b
5 1 21 8f563b
0 2 21 847e87
1 2 21 8f563b
2 2 21 8f563b
4 2 21 8f563b
5 2 21 8f563b
0 3 21 8f563b
1 3 21 8f563b
4 3 21 8f563b
5 3 21 8f563b
0 4 21 8f563b
1 4 21 8f563b
2 4 21 8f563b
3 4 21 8f563b
4 4 21 8f563b
5 4 21 8f563b
0 5 21 8f563b
1 5 21 8f563b
2 5 21 8f563b
3 5 21 8f563b
4 5 21 8f563b
5 5 21 8f563b
0 0 22 847e87
1 0 22 8f563b
2 0 22 8f563b
3 0 22 8f563b
4 0 22 8f563b
5 0 22 8f563b
0 1 22 8f563b
1 1 22 8f563b
2 1 22 8f563b
3 1 22 8f563b
4 1 22 8f563b
5 1 22 8f563b
0 2 22 8f563b
1 2 22 8f563b
2 2 22 8f563b
3 2 22 8f563b
4 2 22 8f563b
5 2 22 8f563b
0 3 22 8f563b
1 3 22 8f563b
2 3 22 8f563b
3 3 22 8f563b
4 3 22 8f563b
5 3 22 8f563b
0 4 22 8f563b
1 4 22 8f563b
2 4 22 8f563b
3 4 22 8f563b
4 4 22 8f563b
5 4 22 8f563b
0 5 22 8f563b
1 5 22 8f563b
2 5 22 8f563b
3 5 22 8f563b
4 5 22 8f563b
5 5 22 6abe30
0 0 23 8f563b
1 0 23 8f563b
2 0 23 8f563b
3 0 23 8f563b
4 0 23 8f563b
5 0 23 8f563b
0 1 23 8f563b
1 1 23 8f563b
2 1 23 8f563b
3 1 23 8f563b
4 1 23 8f563b
5 1 23 8f563b
0 2 23 8f563b
1 2 23 8f563b
2 2 23 8f563b
3 2 23 8f563b
4 2 23 8f563b
5 2 23 8f563b
0 3 23 8f563b
1 3 23 8f563b
2 3 23 8f563b
3 3 23 8f563b
4 3 23 8f563b
5 3 23 6abe30
0 4 23 8f563b
1 4 23 8f563b
2 4 23 8f563b
3 4 23 8f563b
4 4 23 8f563b
5 4 23 6abe30
0 5 23 8f563b
1 5 23 8f563b
2 5 23 8f563b
3 5 23 8f563b
4 5 23 6abe30
0 0 24 8f563b
1 0 24 8f563b
2 0 24 8f563b
3 0 24 8f563b
4 0 24 8f563b
5 0 24 8f563b
0 1 24 8f563b
1 1 24 8f563b
2 1 24 8f563b
3 1 24 8f563b
4 1 24 8f563b
5 1 24 8f563b
0 2 24 8f563b
1 2 24 8f563b
2 2 24 8f563b
3 2 24 8f563b
4 2 24 8f563b
5 2 24 6abe30
0 3 24 8f563b
1 3 24 8f563b
2 3 24 8f563b
3 3 24 8f563b
4 3 24 8f563b
0 4 24 8f563b
1 4 24 8f563b
2 4 24 8f563b
3 4 24 8f563b
4 4 24 6abe30
0 5 24 8f563b
1 5 24 8f563b
2 5 24 8f563b
3 5 24 6abe30
0 0 25 8f563b
1 0 25 8f563b
2 0 25 6abe30
3 0 25 6abe30
4 0 25 6abe30
5 0 25 6abe30
0 1 25 8f563b
1 1 25 6abe30
2 1 25 6abe30
3 1 25 6abe30
4 1 25 6abe30
5 1 25 6abe30
0 2 25 8f563b
1 2 25 6abe30
2 2 25 6abe30
3 2 25 8f563b
4 2 25 6abe30
0 3 25 6abe30
1 3 25 6abe30
2 3 25 8f563b
3 3 25 8f563b
4 3 25 6abe30
0 4 25 6abe30
1 4 25 6abe30
2 4 25 6abe30
3 4 25 6abe30
0 5 25 6abe30
1 5 25 6abe30
2 5 25 6abe30
0 0 26 8f563b
1 0 26 6abe30
0 1 26 6abe30
0 2 26 6abe30
3 2 26 6abe30
2 3 26 6abe30
3 3 26 6abe30
0 0 27 6abe30
